CROSS,SBX_MNUF,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SPC_MNUF,0.000000,0.188841,0.208155,0.137339,0.111588,0.124464,0.081545,0.057940,0.045064,0.045064
SPC_MPOLY,0.000000,0.185529,0.174397,0.133581,0.105751,0.109462,0.107607,0.068646,0.064935,0.050093
SPC_NONE,0.000000,0.163772,0.191067,0.121588,0.101737,0.133995,0.111663,0.069479,0.042184,0.064516
TPC_MNUF,0.000000,0.126471,0.164706,0.147059,0.102941,0.144118,0.102941,0.067647,0.073529,0.070588
TPC_MPOLY,0.000000,0.136612,0.153005,0.169399,0.136612,0.103825,0.106557,0.071038,0.073770,0.049180
TPC_NONE,0.000000,0.157233,0.163522,0.110063,0.138365,0.135220,0.113208,0.053459,0.069182,0.059748
UC_MNUF,0.005435,0.086957,0.233696,0.119565,0.135870,0.114130,0.114130,0.054348,0.065217,0.070652
UC_MPOLY,0.000000,0.193548,0.145161,0.134409,0.096774,0.118280,0.145161,0.048387,0.075269,0.043011
UC_NONE,0.000000,0.131737,0.209581,0.137725,0.095808,0.149701,0.101796,0.047904,0.071856,0.053892
