Epochs,Best_accuracy,Loss,Acc_mean,Loss_mean
1,0.8485999703407288,0.522297203540802,0.944729995727539,0.18677386045455932
2,0.9189000129699707,0.288845419883728,,
3,0.9362999796867371,0.21586474776268005,,
4,0.9487000107765198,0.17338670790195465,,
5,0.9562000036239624,0.14560002088546753,,
6,0.9589999914169312,0.133459210395813,,
7,0.9660999774932861,0.11384081095457077,,
8,0.9682999849319458,0.09915216267108917,,
9,0.9726999998092651,0.08817120641469955,,
10,0.9725000262260437,0.08712111413478851,,
