HV,NONE_MPAR,NONE_MSWAP,SPC_MPAR,SPC_MSWAP,SPC_NONE,TPC_MPAR,TPC_MSWAP,TPC_NONE,UC_MPAR,UC_MSWAP,UC_NONE
NONE_MPAR,0.000000,0.000000,0.200000,0.200000,0.000000,0.200000,0.200000,0.000000,0.200000,0.000000,0.000000
NONE_MSWAP,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000
SPC_MPAR,0.011111,0.000000,0.077778,0.088889,0.077778,0.111111,0.077778,0.155556,0.122222,0.111111,0.166667
SPC_MSWAP,0.000000,0.000000,0.029851,0.119403,0.179104,0.104478,0.164179,0.089552,0.059701,0.089552,0.164179
SPC_NONE,0.008130,0.016260,0.032520,0.065041,0.154472,0.040650,0.097561,0.162602,0.056911,0.170732,0.195122
TPC_MPAR,0.013158,0.000000,0.052632,0.065789,0.131579,0.118421,0.118421,0.197368,0.144737,0.065789,0.092105
TPC_MSWAP,0.000000,0.000000,0.069767,0.058140,0.116279,0.139535,0.058140,0.232558,0.093023,0.104651,0.127907
TPC_NONE,0.000000,0.014184,0.035461,0.092199,0.141844,0.078014,0.092199,0.184397,0.099291,0.099291,0.163121
UC_MPAR,0.028571,0.000000,0.114286,0.042857,0.142857,0.057143,0.128571,0.100000,0.028571,0.100000,0.257143
UC_MSWAP,0.000000,0.000000,0.115789,0.052632,0.157895,0.073684,0.105263,0.189474,0.073684,0.073684,0.157895
UC_NONE,0.000000,0.006993,0.083916,0.104895,0.174825,0.083916,0.076923,0.153846,0.041958,0.118881,0.153846
