HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.000000,0.000000,0.250000
NONE_MPOLY,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.263158,0.052632,0.157895,0.263158,0.000000,0.000000,0.210526
SBX_MNUF,0.000000,0.000000,0.000000,0.095238,0.000000,0.000000,0.095238,0.095238,0.047619,0.142857,0.190476,0.000000,0.238095,0.095238
SBX_MPOLY,0.000000,0.011364,0.011364,0.090909,0.022727,0.011364,0.034091,0.238636,0.000000,0.045455,0.272727,0.000000,0.034091,0.227273
SBX_NONE,0.000000,0.000000,0.000000,0.035714,0.035714,0.000000,0.000000,0.321429,0.000000,0.000000,0.321429,0.000000,0.035714,0.250000
SPC_MNUF,0.000000,0.000000,0.023256,0.023256,0.023256,0.093023,0.023256,0.209302,0.116279,0.023256,0.139535,0.093023,0.000000,0.232558
SPC_MPOLY,0.000000,0.017544,0.000000,0.105263,0.000000,0.000000,0.052632,0.333333,0.000000,0.052632,0.210526,0.017544,0.087719,0.122807
SPC_NONE,0.002421,0.007264,0.004843,0.020581,0.015738,0.015738,0.016949,0.313559,0.009685,0.013317,0.285714,0.010896,0.018160,0.265133
TPC_MNUF,0.000000,0.000000,0.054054,0.027027,0.000000,0.162162,0.000000,0.054054,0.162162,0.081081,0.189189,0.135135,0.027027,0.108108
TPC_MPOLY,0.013333,0.013333,0.000000,0.053333,0.013333,0.013333,0.040000,0.133333,0.053333,0.040000,0.306667,0.000000,0.093333,0.226667
TPC_NONE,0.000000,0.004837,0.002418,0.022975,0.016929,0.009674,0.016929,0.298670,0.008464,0.027811,0.267231,0.012092,0.022975,0.288996
UC_MNUF,0.000000,0.026316,0.026316,0.000000,0.000000,0.105263,0.000000,0.263158,0.026316,0.026316,0.236842,0.052632,0.052632,0.184211
UC_MPOLY,0.012987,0.000000,0.000000,0.038961,0.038961,0.012987,0.038961,0.207792,0.000000,0.038961,0.259740,0.025974,0.038961,0.285714
UC_NONE,0.000000,0.006234,0.001247,0.022444,0.024938,0.007481,0.016209,0.269327,0.007481,0.018703,0.307980,0.007481,0.016209,0.294264
