Execution,Accuracy,FLOPs,Num_Params,cm_precision_macro,cm_recall_macro,cm_f1_macro
1,0.696799994,859369964.0,2535460.0,0.703705681,0.6905,0.691532565
2,0.693400025,510120812.0,2854180.0,0.709720533,0.6984,0.699162381
3,0.708199978,542527660.0,3267748.0,0.713789705,0.7017,0.702699299
4,0.692600012,369188332.0,4300836.0,0.700116478,0.6858,0.687422929
5,0.702799976,1506080748.0,9100324.0,0.720078439,0.7073,0.70813606
6,0.698599994,1143984300.0,3822756.0,0.704303941,0.694,0.694051477
7,0.697600007,517988588.0,6257188.0,0.707552826,0.6964,0.696961408
8,0.715399981,446069484.0,3701284.0,0.717525127,0.7041,0.705602801
9,0.68900001,862709100.0,4803876.0,0.700057935,0.6881,0.68852116
10,0.689199984,1401454380.0,6502308.0,0.70628159,0.694,0.694589435
11,0.685400009,1121338924.0,6488484.0,0.702145693,0.6891,0.689386719
12,0.700200021,584586924.0,3743908.0,0.70440379,0.6909,0.692066931
13,0.684599996,367470892.0,1929124.0,0.706303247,0.6949,0.694624265
14,0.686200023,916013036.0,5373988.0,0.690930291,0.6792,0.679299039
15,0.706799984,1598014508.0,5831076.0,0.712857675,0.6996,0.70078679
16,0.6954,1075307756.0,4427300.0,0.701233228,0.6869,0.688514216
17,0.690800011,791268140.0,3013540.0,0.703357148,0.689,0.690148547
18,0.674799979,595057324.0,4711588.0,0.68323199,0.6698,0.670271119
19,0.690800011,378283052.0,3213732.0,0.697856012,0.6866,0.686999425
20,0.675000012,565044908.0,2630820.0,0.698183391,0.6835,0.68500466
21,0.667800009,383487724.0,3039780.0,0.680030953,0.6662,0.66681051
22,0.689800024,680990508.0,5042084.0,0.69312218,0.6817,0.682336119
23,0.701799989,638611244.0,4019108.0,0.703195296,0.6915,0.692019638
24,0.693199992,683833452.0,2602788.0,0.701892181,0.6902,0.690944172
25,0.692600012,803425388.0,6500132.0,0.71363024,0.6999,0.701261583
26,0.700999975,465322156.0,3205284.0,0.704854005,0.688,0.689789598
27,0.700999975,679956908.0,4314788.0,0.710110261,0.6978,0.698642763
28,0.696399987,1315707372.0,7303204.0,0.698085737,0.6853,0.685899859
29,0.692600012,485102572.0,2896932.0,0.704594472,0.6898,0.690753219
30,0.685800016,492560044.0,3677348.0,0.699294312,0.6825,0.683896166
Mean,0.6931866665999997,759362540.0,4370365.6,0.7030814785666668,0.6900899999999999,0.6909378284333333
Std,0.009878445310575535,347776642.0460788,1645418.9222329492,0.008657718821641593,0.008917224904643821,0.00899682589797379
