Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.125,0.375,0.0,0.1525,0.115,0.95
2,0.125,0.375,0.0,0.115,0.085,0.75
3,0.0,0.0,0.125,0.11,0.09,0.85
4,0.25,0.375,0.125,0.1075,0.075,0.3
5,0.25,0.375,0.0,0.12,0.0575,0.6
6,0.5,0.375,0.0,0.11,0.0575,0.4
7,0.375,0.0,0.125,0.095,0.0775,0.65
8,0.25,0.0,0.125,0.0725,0.0975,0.9
9,0.375,0.125,0.125,0.0675,0.0475,0.7
10,0.25,0.125,0.0,0.1225,0.07,0.65
11,0.5,0.0,0.25,0.13,0.1,0.8
12,0.5,0.25,0.0,0.0725,0.0625,0.4
13,0.375,0.125,0.0,0.1075,0.0775,0.85
14,0.25,0.25,0.25,0.1425,0.0775,0.85
15,0.0,0.5,0.125,0.11,0.07,0.85
16,0.25,0.125,0.25,0.1875,0.13,0.9
17,0.375,0.0,0.125,0.115,0.05,1.0
18,0.125,0.125,0.0,0.1325,0.0725,0.85
19,0.125,0.0,0.125,0.0925,0.0825,0.95
20,0.375,0.125,0.0,0.1125,0.1275,0.85
21,0.125,0.125,0.0,0.1375,0.1075,0.6
22,0.125,0.25,0.0,0.1075,0.0525,1.0
23,0.25,0.125,0.0,0.13,0.0975,0.75
24,0.25,0.0,0.125,0.1075,0.0775,0.85
25,0.0,0.125,0.125,0.135,0.0975,0.95
26,0.125,0.25,0.25,0.1575,0.1325,0.8
27,0.375,0.25,0.0,0.14,0.06,0.8
28,0.5,0.375,0.125,0.0975,0.0925,0.35
29,0.25,0.125,0.0,0.13,0.045,0.85
30,0.125,0.25,0.0,0.13,0.0725,1.0
Mean,0.25,0.18333333333333332,0.07916666666666666,0.11825000000000001,0.08191666666666665,0.7666666666666668
Std,0.1479019945774904,0.14337208778404378,0.08829008375173787,0.025241747826434947,0.023810741040313905,0.19206480387850575
