GO1,GO2,Wilcoxon Statistic,p-value,H0 veredict
NONE_MPAR,NONE_MSWAP,371.5,0.24881466005006314,Non-rejected
NONE_MPAR,NONE_NONE,590.0,0.0391561663743588,Rejected
NONE_MPAR,SPC_MPAR,554.5,0.12413560189813734,Non-rejected
NONE_MPAR,SPC_MSWAP,348.5,0.13535607109931033,Non-rejected
NONE_MPAR,SPC_NONE,668.5,0.0012683362526983493,Rejected
NONE_MPAR,TPC_MPAR,696.5,0.0002758113988399052,Rejected
NONE_MPAR,TPC_MSWAP,487.0,0.5894253109460892,Non-rejected
NONE_MPAR,TPC_NONE,711.0,0.00011726668925522905,Rejected
NONE_MPAR,UC_MPAR,432.5,0.8015414395892915,Non-rejected
NONE_MPAR,UC_MSWAP,544.5,0.16457387024578918,Non-rejected
NONE_MPAR,UC_NONE,744.5,1.381746809169049e-05,Rejected
NONE_MSWAP,NONE_NONE,668.0,0.0013006517340456531,Rejected
NONE_MSWAP,SPC_MPAR,636.5,0.0059605935500997385,Rejected
NONE_MSWAP,SPC_MSWAP,423.5,0.7006698294636522,Non-rejected
NONE_MSWAP,SPC_NONE,734.5,2.6829153793352423e-05,Rejected
NONE_MSWAP,TPC_MPAR,774.5,1.6648774715086954e-06,Rejected
NONE_MSWAP,TPC_MSWAP,573.0,0.07010712345402234,Non-rejected
NONE_MSWAP,TPC_NONE,791.0,4.788814307845416e-07,Rejected
NONE_MSWAP,UC_MPAR,520.0,0.3041633811902459,Non-rejected
NONE_MSWAP,UC_MSWAP,634.0,0.006667359589183297,Rejected
NONE_MSWAP,UC_NONE,809.5,1.1098294525288053e-07,Rejected
NONE_NONE,SPC_MPAR,413.5,0.5945448938341322,Non-rejected
NONE_NONE,SPC_MSWAP,236.0,0.0015956864179943638,Rejected
NONE_NONE,SPC_NONE,573.5,0.06897856634922532,Non-rejected
NONE_NONE,TPC_MPAR,567.5,0.08365710125220739,Non-rejected
NONE_NONE,TPC_MSWAP,337.5,0.09773241626377757,Non-rejected
NONE_NONE,TPC_NONE,576.5,0.06245598078363508,Non-rejected
NONE_NONE,UC_MPAR,284.5,0.014703546217682419,Rejected
NONE_NONE,UC_MSWAP,399.0,0.45525932534701485,Non-rejected
NONE_NONE,UC_NONE,640.0,0.0050811555339561314,Rejected
SPC_MPAR,SPC_MSWAP,266.5,0.006816054670674949,Rejected
SPC_MPAR,SPC_NONE,621.0,0.011710683792873126,Rejected
SPC_MPAR,TPC_MPAR,616.0,0.014406747003333803,Rejected
SPC_MPAR,TPC_MSWAP,376.5,0.2804437470492699,Non-rejected
SPC_MPAR,TPC_NONE,645.0,0.004030426227236859,Rejected
SPC_MPAR,UC_MPAR,319.0,0.053678602896822684,Non-rejected
SPC_MPAR,UC_MSWAP,446.0,0.9587274804787155,Non-rejected
SPC_MPAR,UC_NONE,687.0,0.0004711177255130515,Rejected
SPC_MSWAP,SPC_NONE,732.0,3.154872429915406e-05,Rejected
SPC_MSWAP,TPC_MPAR,761.0,4.419146236210712e-06,Rejected
SPC_MSWAP,TPC_MSWAP,579.0,0.05744568635441786,Non-rejected
SPC_MSWAP,TPC_NONE,776.5,1.434205044412119e-06,Rejected
SPC_MSWAP,UC_MPAR,535.0,0.21152950640958812,Non-rejected
SPC_MSWAP,UC_MSWAP,644.5,0.004126345411319148,Rejected
SPC_MSWAP,UC_NONE,792.5,4.270561370955706e-07,Rejected
SPC_NONE,TPC_MPAR,398.0,0.44640680319466464,Non-rejected
SPC_NONE,TPC_MSWAP,230.5,0.001204218150580703,Rejected
SPC_NONE,TPC_NONE,405.5,0.5153131050444207,Non-rejected
SPC_NONE,UC_MPAR,196.0,0.00017828153025947782,Rejected
SPC_NONE,UC_MSWAP,287.0,0.016274407770632136,Rejected
SPC_NONE,UC_NONE,473.5,0.7338108298359682,Non-rejected
TPC_MPAR,TPC_MSWAP,213.5,0.00048442982758053105,Rejected
TPC_MPAR,TPC_NONE,459.0,0.8999853615140749,Non-rejected
TPC_MPAR,UC_MPAR,154.5,1.2919382051066415e-05,Rejected
TPC_MPAR,UC_MSWAP,263.0,0.005825437478175898,Rejected
TPC_MPAR,UC_NONE,546.0,0.1579699127586658,Non-rejected
TPC_MSWAP,TPC_NONE,708.5,0.00013631934706347424,Rejected
TPC_MSWAP,UC_MPAR,388.5,0.3671099534172735,Non-rejected
TPC_MSWAP,UC_MSWAP,515.5,0.33651809541901156,Non-rejected
TPC_MSWAP,UC_NONE,747.5,1.126540061556195e-05,Rejected
TPC_NONE,UC_MPAR,142.5,5.646886309872353e-06,Rejected
TPC_NONE,UC_MSWAP,246.0,0.002621753785223822,Rejected
TPC_NONE,UC_NONE,538.0,0.19575349167419098,Non-rejected
UC_MPAR,UC_MSWAP,568.5,0.08101888476862713,Non-rejected
UC_MPAR,UC_NONE,785.5,7.31079851793201e-07,Rejected
UC_MSWAP,UC_NONE,694.0,0.00031771851806895084,Rejected
