Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.11,3.08,2.4613989616648597,2.4274524202392214,0.8348623853211009,0.8223021147509515,10.222222222222221,10.11111111111111
2,3.26,3.31,2.488843794685282,2.5611510985287356,0.8990825688073395,0.8600705626568645,10.277777777777779,14.666666666666666
3,3.64,3.68,2.945703942552903,2.943508522875792,1.0454545454545454,0.9989569205464215,9.333333333333334,17.0
4,3.7,3.7,2.7247463045653304,2.7542437411853338,1.0454545454545454,1.0350407839889373,10.5,10.666666666666666
5,2.49,2.52,2.0816417374832596,2.1247935134378295,1.1,0.9182152612841099,7.166666666666667,15.88888888888889
6,3.57,3.54,2.4914196188461943,2.4798989878418416,1.1574074074074074,1.0245768402744915,7.833333333333333,16.77777777777778
7,3.69,3.71,2.997288336769983,2.979034485306685,1.0,0.9229582069908973,10.666666666666666,20.444444444444443
8,3.7,3.71,3.0533968499414423,3.062629094372508,1.1181818181818182,0.9742728945531042,10.61111111111111,15.777777777777779
9,3.49,3.59,2.9999831649359288,3.0387896314556597,1.0,0.9767949837949479,8.333333333333334,13.555555555555555
10,2.97,3.0,2.528444245584684,2.534608929251695,1.0272727272727273,0.9031960672780978,6.888888888888889,19.11111111111111
Mean,3.3619999999999997,3.3840000000000003,,,1.0227715997899485,,9.183333333333334,15.4
Std,0.36443729975751027,0.36414782213221647,,,0.08836359248415257,,1.3533949497508933,2.990520001027114
