Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.125,0.125,0.0,0.0,0.0,0.0,0.866666667,
2,0.375,0.0,0.25,1.0,0.0,0.0,1.0,
3,0.375,0.375,0.0,0.0,0.0,0.0,0.833333333,
4,0.375,0.0,0.125,1.0,0.0,0.0,1.0,
5,0.25,0.375,0.0,0.0,0.0,0.0,0.733333333,
6,0.25,0.125,0.0,0.0,0.0,0.0,0.966666667,
7,0.25,0.375,0.0,0.0,0.0,0.0,0.966666667,
8,0.5,0.125,0.0,0.0,0.0,0.0,0.933333333,
9,0.375,0.375,0.0,0.0,0.0,0.0,0.7,
10,0.375,0.375,0.0,2.0,0.0,0.0,1.0,
11,0.25,0.375,0.125,0.0,0.0,0.0,0.9,
12,0.25,0.125,0.0,2.0,0.0,0.0,1.0,
13,0.125,0.25,0.0,0.0,0.0,0.0,0.933333333,
14,0.375,0.25,0.0,3.0,0.0,0.0,1.0,
15,0.125,0.125,0.25,0.0,0.0,0.0,0.9,
16,0.625,0.125,0.0,0.0,0.0,0.0,0.833333333,
17,0.125,0.375,0.25,0.0,0.0,0.0,0.866666667,
18,0.5,0.0,0.125,0.0,0.0,0.0,0.833333333,
19,0.125,0.5,0.0,0.0,0.0,0.0,0.933333333,
20,0.625,0.0,0.125,0.0,0.0,0.0,0.9,
21,0.25,0.125,0.0,0.0,0.0,0.0,0.9,
22,0.25,0.125,0.0,1.0,0.0,0.0,1.0,
23,0.25,0.375,0.5,0.0,0.0,0.0,0.766666667,
24,0.25,0.125,0.0,3.0,0.0,0.0,1.0,
25,0.125,0.25,0.125,0.0,0.0,0.0,0.9,
26,0.25,0.25,0.0,4.0,0.0,0.0,1.0,
27,0.25,0.25,0.0,0.0,0.0,0.0,0.733333333,
28,0.125,0.5,0.0,3.0,0.0,0.0,1.0,
29,0.25,0.375,0.0,0.0,0.0,0.0,0.9,
30,0.625,0.125,0.0,0.0,0.0,0.0,0.966666667,
Mean,0.3,0.22916666666666666,0.0625,0.6666666666666666,0.0,0.0,0.9088888888666665,
Std,0.15,0.14819516036482283,0.1152443057161611,1.164283279771532,0.0,0.0,0.08816370861186326,
